Id;splMass;PrProt;Asx;Thr;Ser;Glx;Gly;Ala;Pro;Val;Met;Ile;Leu;Tyr;Phe;His;Lys;Arg
BW_F02_Wild;10.2;52.54;6.97;3.65;3.55;11.46;36.54;17.29;12.56;1.51;0.36;0.74;1.53;0.52;0.52;0.08;0.45;2.28
BW_F03_Wild;9.9;44.4;7.88;4.18;3.92;12.77;31.34;14.32;14.03;2.16;0.58;1.12;2.08;0.7;0.81;0.2;0.94;2.99
BW_M04_Wild;11.1;44.33;7.53;3.64;3.38;10.71;39.64;16.87;9.3;2.9;0.28;0.42;1.31;0.38;0.37;0.32;0.78;2.18
BW_F05_Wild;10.1;47.69;7.55;3.63;3.02;12.66;39.46;17.39;7.62;1.7;0.41;0.86;1.62;0.64;0.76;0.39;0.61;1.67
BW_M06_Wild;9.7;43.55;7.06;3.18;2.8;11.78;42.2;17.68;7.91;1.43;0.36;0.77;1.47;0.43;0.65;0.23;0.45;1.6
BW_U01_Im;10.8;35.87;8.9;4.73;4.28;13.53;28.89;13.84;12.1;2.9;0.73;1.55;2.68;0.85;1.17;0.3;1.3;2.24
BW_U02_Im;10.4;26.24;9.66;5.06;4.43;14.22;26.53;11.25;13.1;3.12;0.77;1.82;3.05;1.23;1.42;0.32;1.64;2.4
BW_U04_Im;10.5;17.39;9.93;4.58;3.41;15.28;28.88;11.38;12;2.93;0.94;1.76;2.75;1.31;1.49;0.66;1.55;1.16
BW_U05_Im;9.2;19.01;10.4;4.9;3.56;13.68;28.71;10.93;12;2.88;0.84;1.81;2.89;1.53;1.78;0.48;1.71;1.91
BW_U06_Im;9.4;24.35;10.21;4.84;3.47;14.61;33.22;11.17;8.97;2.61;0.83;1.56;2.59;1.09;1.09;0.51;1.25;1.99
BW_U01_Ea;10;36.9;8.99;4.39;4.2;14.39;28.09;13.32;12.66;3.05;0.76;1.64;2.86;0.41;1.27;0.27;1.32;2.39
BW_U02_Ea;10.5;25.66;9.15;4.95;4.12;14.67;27.1;11.56;12.6;3.29;0.93;1.79;3.03;1.29;1.33;0.25;1.5;2.44
BW_U04_Ea;10;21.44;9.71;4.4;3.4;14.23;29.74;12.06;11.57;2.83;0.7;1.74;2.84;1.23;1.32;0.58;1.6;2.05
BW_U05_Ea;10.3;19.68;10.31;4.3;3.52;15.34;31.07;11.96;9.52;2.53;0.75;1.55;2.55;1.28;1.34;0.54;1.42;2.02
BW_U06_Ea;10.9;21.01;10.59;5.12;3.69;15.15;30.3;11.89;8.77;2.9;0.8;1.69;2.96;1.1;1.49;0.48;1.64;1.42
BW_U01_Po;10.5;16.55;9.26;4.98;4.78;14.13;28.18;12.04;10.01;3.22;0.89;1.92;3.28;1.38;1.51;0.33;1.72;2.37
BW_U02_Po;9.9;16.61;10.66;4.16;3.2;15.43;29.61;11.44;12.1;2.68;0.84;1.51;2.58;1.09;1.33;0.49;1.28;1.61
BW_U03_Po;10.4;17.56;9.55;4.07;3.26;15.01;34.26;12.78;8.9;2.52;0.79;1.36;2.25;0.95;0.83;0.54;1.05;1.87
BW_U04_Po;10.3;15.2;9.59;4.39;3.09;15.66;30.25;13.02;10.75;2.62;0.85;1.57;2.46;1.18;1.23;0.48;1;1.86
BW_U05_Po;10.5;16.57;9.38;3.83;2.69;12.24;31.05;13.09;10.63;3.77;1.58;2.41;2.27;1.8;1.58;0.6;1.25;1.82
BW_U01_Eo;11;27.53;9.3;4.55;4.23;14.82;27.59;11.83;12.04;3.13;0.94;1.76;2.94;1.11;1.32;0.34;1.43;2.66
BW_U02_Eo;9.1;30.21;9.45;5.03;4.23;15.05;27.54;11.58;12.16;2.99;0.78;1.65;2.92;1.13;1.35;0.25;1.55;2.37
BW_U04_Eo;10.7;20.16;9.83;5.28;3.7;16.57;28.92;11.54;9.26;3.17;1.02;1.8;2.87;1.06;0.58;0.74;1.67;2
BW_U05_Eo;9.9;24.78;9.45;4.62;3.38;15.26;32.75;12.81;8.06;2.7;0.86;1.55;2.5;1.03;1.36;0.44;1.33;1.9
BW_U06_Eo;9.4;21.27;9.55;4.23;3.33;15.74;32.35;12.32;9.52;2.6;0.85;1.42;2.3;0.89;1.12;0.54;1.29;1.96
