Id,splMass,StdC23,C14.0,C15.0iso,C15.0anteiso,C15.0,C16.0iso,C16.0,C16.1w7,C18.0,C18.1w9,C18.1w7,C18.2w6,C19.0,C18.3w3,C18.4w3,C20.0,C20.1w9,C20.1w7,C20.2w6,C21.0,C20.4w6,C20.5w3,C22.0,C22:1w11,C22.1w9,C23.0,C23.1w9,C22.5w6,C22.6w3,C24.1w9
BW_M04 Wild,52.5,30,158.3,105.4,39.9,42.8,54.6,356.1,206.8,262.3,126.2,213,52.2,58.7,33.2,53,156.5,470.47,29.3,83.2,94.3,1252.8,744.6,99.1,41.9,88.7,664.2,379,83,125.3,154.2
BW_F02 Wild,57,30,39.37,27.49,10.29,10.59,15.41,125.78,64.26,99.76,114.3,59.03,25.2,19.07,9.97,16.01,38.83,99.96,8.64,19.33,21.91,260.7,150.89,18.3,7.76,18.55,262.61,80.52,12.61,39.17,18.37
BW_F03 Wild,61.9,30,23.26,15.87,6.38,7.36,11.19,81.34,37.47,102.19,59.33,58.79,31.44,21.25,6.82,8.28,47.49,153.51,9.04,28.02,27.24,377.84,247.04,21.93,8.63,26.01,184.55,112.46,26.89,26.5,38.3
BW_F05 Wild,66.3,30,27.21,18.36,7.79,7.71,10.5,95.39,38.88,103.75,92.91,58.14,33.38,20.52,9.08,10.38,54.49,158.57,9.53,26.27,27.59,399.91,211.54,24.4,7.14,22.31,156.54,110.69,23.98,24.69,43.17
BW_M01 Wild,71.7,30,48.73,24.7,9.17,12.4,13.47,284.06,78.66,182.37,336.07,98.05,51.06,33.82,11.42,18.53,68.95,271.65,23.73,49.99,46.14,601.06,410.32,33.56,18.71,48.77,254.59,231.72,51.36,46.3,74.24
BW_M06 Wild,77.8,30,109.24,91.38,44.21,28.53,44.96,199.81,146.3,157.73,186.04,155.97,63.25,33.9,16.98,28.51,101.43,225.86,19.96,43.62,43.31,622.95,356.81,36.29,18.02,40.54,209.58,174.29,27.72,50.06,51.31
BW_U01 IM,63.5,30,31.24,105.13,29.05,42.8,22.76,138.41,59.32,125.28,83.56,234.94,46.9,49.44,89.5,20.61,52.38,382.32,18.64,68.18,66.23,570.2,505.7,44.89,17.44,97.15,163.53,207.54,16.37,26,75.24
BW_U01 EO,71.5,30,228.8,210.77,58.46,102.19,83.54,474.15,363.27,418.2,157.12,331.15,64.46,90.23,39.33,70.21,145.63,368.44,56.99,66.6,100.4,573.41,778.34,73.63,16.21,120.73,198.94,166.91,64.51,271.31,69.24
BW_U01 PO,65.2,30,33.48,36.59,16.18,19.22,14.42,158.42,51.55,153.41,93.53,110.1,39.83,36.34,18.74,9.68,79.34,332.55,17.42,53.69,66.33,725.45,489.65,64.8,13.3,90.17,218.96,187.68,39.34,69.69,83.69
BW_U01 EA,63.6,30,95.62,57.23,15.99,30.07,30.13,258.36,190.51,222,210.35,304.62,61.68,53.84,40.62,32.88,122.4,474.46,34,64.93,77.06,1103.91,541.08,72.49,14.92,113.63,202.34,298.97,36.37,60.28,127.16
BW_U02 IM,55.1,30,77,202.6,64.13,85.94,34.32,238.71,128.23,219.29,93.21,254.34,63.36,64.34,125.94,38.88,61.81,381.43,20.02,60.62,71.54,552.46,386.84,52.02,19.64,120.82,185.99,188.01,19.87,34.67,87.69
BW_U02 EO,71.1,30,212.43,184.4,49.38,104.29,76.76,438.24,330.8,312.45,179.07,291.71,65.08,78.59,37.84,61.99,126.94,359.7,56.34,57.36,91.38,685.33,738.8,59.56,15.04,112.01,188.88,153.79,52.14,197.14,89.81
BW_U02 PO,68.1,30,25.78,25.52,12.22,13.49,9.84,105.81,47.49,107.47,97.05,104.9,34.23,32.69,16.77,7.65,58.49,342.58,15.24,49.75,60.78,741.99,390.67,47.12,12.98,80.89,188.11,210.15,26.12,38.17,81.01
BW_U02 EA,71,30,198.04,131.81,54.98,47.71,53.11,370.13,218.39,277.18,228.57,320.33,87.21,55.98,56.68,49.28,185.65,599.6,43.39,84.72,63.27,1099.42,646.58,72.4,22.36,112.45,194.22,254.84,29.13,66.8,220.44
BW_U03 IM,47.3,30,35.54,129.84,40.94,42.24,25.6,116.06,97,127.66,79,224.2,60.21,44.4,133.26,33.86,45.66,323.43,18.09,61.01,51.52,349.39,398.66,39.5,14.66,103.95,185.93,141.25,15.15,26.6,83.5
BW_U03 EO,70.1,30,82.45,82.71,22.18,44.14,37.49,212.3,147.15,149.97,85.34,161.28,32.24,44.57,20.54,23.36,77.14,246.11,33.01,38.78,72.69,515.22,468.64,46.92,11.18,92.58,190.14,110.51,39.91,118.35,67.58
BW_U03 PO,63.1,30,34.78,37.31,17.44,19.41,12.99,131.56,46.51,110.75,81.67,101.84,28.79,33.52,17.91,9.09,59.39,285.47,15.53,43.68,55.52,611.27,366.22,40.23,8.74,64.84,184.33,162.64,25.92,34.8,55.3
BW_U03 EA,71,30,176.95,132.56,52.45,51.99,56.13,345.76,208.64,256.37,180.75,321.21,71.37,56.14,52.49,41.44,162.03,481.34,38.69,67.9,63.04,874.8,616.18,77.37,18.76,109.59,218.23,206.53,34.24,63.61,197.64
BW_U04 IM,52.2,30,41.97,116.31,36.39,47.72,22.53,147.89,83.84,125.13,104.53,223.51,60.89,36.9,139.15,34.54,39,296.73,16.53,54.44,42.09,281.74,414.05,37.71,14.4,85.02,182.08,146.87,10.85,25.37,71.22
BW_U04 EO,73.3,30,141.95,139.04,34.56,78.72,63.04,383,255.54,255.22,134.59,266.47,54.42,66.54,32.83,42.44,110.3,373.87,50.35,74.21,96.12,760.85,736.13,67.61,16.81,135.47,179.21,164.55,54.04,167.9,98.82
BW_U04 PO,63.7,30,62.44,61.72,28.46,32.15,21.61,176.54,89.54,156.4,51.55,151.21,27.38,45.61,23.59,15.8,79.36,337.01,21.23,53.8,65.23,719.1,519.54,51.97,11.4,92.38,189.41,182.11,34.07,72.29,82.27
BW_U04 EA,73.1,30,255.13,150.35,59.02,59.91,66.16,482.02,304.75,376.12,382.4,460.53,111.83,76.72,82.11,76.3,233.57,681.12,54.62,113.06,67.84,1153.33,788.57,90.11,26.89,128.49,208.28,245.7,34.77,101.65,238.71
BW_U05 IM,56.6,30,34.62,122.08,32.91,31.12,25.18,110.28,84.58,120.63,90.95,246.62,49.01,43.84,99.34,28.91,46.96,355.9,18.71,65.3,50.07,399.81,442.28,40.37,16.34,111.44,180.78,165.4,16.87,23.57,77.25
BW_U05 EO,63.5,30,210.09,122.88,36.25,77.01,52.85,415.78,388.47,335.85,142.52,288.61,51.38,70.97,45.38,89.69,115.8,353.66,50.93,55.17,80.61,580.14,834.62,62.72,15.65,105.02,163.57,147.64,45.58,223.25,87.77
BW_U05 PO,60.8,30,40.97,44.88,21.06,22.23,15.51,134.81,59.03,134.7,64.32,125.75,29.97,40.16,22.16,12.82,71.9,344.29,17.88,53.36,62.86,753.34,458.65,51.26,10.94,83.91,164,207.44,35.1,70.53,75.19
BW_U05 EA,68.6,30,187.45,151.28,57.39,53.7,66.09,413.13,208.73,348.12,204.93,327.27,66.62,64.47,53.24,43.7,175.27,504.12,44.79,70.59,64.8,917.07,583.72,69.46,16.77,112.62,195.2,205.59,35.5,71.25,170.49
BW_U06 IM,59.2,30,36.67,110.42,34.57,44.47,20.52,134.2,81.98,117.21,83.68,214.01,47.16,42.41,89.32,25.59,45.21,313,14.09,53.32,51.83,448.67,341.55,38.94,16.19,78.56,184.69,172.58,11.2,18.47,68.98
BW_U06 EO,71.7,30,128.68,100.82,27.51,63.02,46.59,305.37,217.74,242.05,83.9,199.16,35.6,51.89,27.89,41.43,93.66,292.06,39.9,43.02,71.37,563.92,550.22,52.05,11.76,82.79,188.9,124.64,40.33,142.99,84.47
BW_U06 PO,62.5,30,99.64,108.92,47.48,59.01,35.39,321.44,146.98,273.9,134.01,189.35,62.6,64.66,46.23,35.26,100.5,432.7,30.11,73.78,74.79,888.09,649.63,71.23,11.89,107.05,168.85,215.3,47,120.14,82.95
BW_U06 EA,71,30,162.96,107.57,37.06,42.53,47.7,307.68,199.74,236.12,232.91,278.06,79.08,51.7,44.14,38.58,163.37,437,37.06,60.29,56.85,872.87,496.28,66.89,20.12,84.05,188.39,205.28,31.17,62.29,165.99
BW_U07 IM,61.8,30,42,152.89,50.39,52.6,27.17,143.9,83.14,154.82,86.1,248.06,76.95,57.48,156.39,32.19,57.15,462.85,22.14,84.75,75.25,503.53,597.65,53.51,22.88,160.22,197.42,218.87,15.39,29.67,100.67
BW_U07 PO,65.1,30,25.2,27,12.64,14.43,9.33,112.35,33.46,100.87,103.45,79,44.53,30.33,11.9,6.76,62.23,292.1,12.72,44.74,60.07,665.42,332,49.66,10.46,76.66,239.11,179.22,26.13,30.42,68.57
BW_U07 EA,61,30,232.4,153.67,57.95,65.26,72.76,487.45,279.42,307.72,275.53,407.19,88.41,62.68,69.15,58.51,179.94,573.92,48.07,81.72,74.11,1117.32,710.42,76.85,20.6,123.46,220.8,247.1,41.05,86.5,188.57
BW_U08 IM,58.9,30,52.97,170.77,53.47,71.16,31.86,192.75,106.59,182.95,92.87,281.1,65.33,64.15,152.21,45.85,59.38,398.28,22.42,72.85,67.12,476.62,598.71,50.03,15.67,119.9,169.34,189.09,20.28,37.39,86.88
Feed01 IMF,36.9,30,83.07,87.23,28.66,19.8,9.79,311.24,189.35,24.14,29.3,161.2,18.48,2.93,29.51,9.84,5.57,4.56,2.65,NA,NA,9.75,19.61,10.76,NA,NA,76.84,NA,NA,4.6,NA
