Date;Time;Co-culture;Origin;Structure;Idweight
25/11/20;J0;abalone;Plouguerneau;palox 1;7.15
25/11/20;J0;abalone;Plouguerneau;palox 1;4.66
25/11/20;J0;abalone;Plouguerneau;palox 1;6.04
25/11/20;J0;abalone;Plouguerneau;palox 1;7.73
25/11/20;J0;abalone;Plouguerneau;palox 1;4.79
25/11/20;J0;abalone;Plouguerneau;palox 1;7.9
25/11/20;J0;abalone;Plouguerneau;palox 1;8.32
25/11/20;J0;abalone;Plouguerneau;palox 1;7.06
25/11/20;J0;abalone;Plouguerneau;palox 1;5.14
25/11/20;J0;abalone;Plouguerneau;palox 1;5.65
25/11/20;J0;abalone;Plouguerneau;palox 1;4.91
25/11/20;J0;abalone;Plouguerneau;palox 1;7.9
25/11/20;J0;abalone;Plouguerneau;palox 1;7.11
25/11/20;J0;abalone;Plouguerneau;palox 1;6.25
25/11/20;J0;abalone;Plouguerneau;palox 1;5.5
25/11/20;J0;abalone;Plouguerneau;palox 1;7.02
25/11/20;J0;abalone;Plouguerneau;palox 1;6.5
25/11/20;J0;abalone;Plouguerneau;palox 1;6.82
25/11/20;J0;abalone;Plouguerneau;palox 1;7.31
25/11/20;J0;abalone;Plouguerneau;palox 1;7.69
25/11/20;J0;abalone;Plouguerneau;palox 1;5.85
25/11/20;J0;abalone;Plouguerneau;palox 1;5.67
25/11/20;J0;abalone;Plouguerneau;palox 1;6.29
25/11/20;J0;abalone;Plouguerneau;palox 1;6.78
25/11/20;J0;abalone;Plouguerneau;palox 1;6.26
25/11/20;J0;abalone;Plouguerneau;palox 1;6.43
25/11/20;J0;abalone;Plouguerneau;palox 1;5.97
25/11/20;J0;abalone;Plouguerneau;palox 1;5.17
25/11/20;J0;abalone;Plouguerneau;palox 1;6.82
25/11/20;J0;abalone;Plouguerneau;palox 1;8.54
25/11/20;J0;abalone;Plouguerneau;palox 1;7.28
25/11/20;J0;abalone;Plouguerneau;palox 1;5.93
25/11/20;J0;abalone;Plouguerneau;palox 1;5.86
25/11/20;J0;abalone;Plouguerneau;palox 1;5.51
25/11/20;J0;abalone;Plouguerneau;palox 1;6.46
25/11/20;J0;abalone;Plouguerneau;palox 1;5
25/11/20;J0;abalone;Plouguerneau;palox 1;5.84
25/11/20;J0;abalone;Plouguerneau;palox 1;6.94
25/11/20;J0;abalone;Plouguerneau;palox 1;6.06
25/11/20;J0;abalone;Plouguerneau;palox 1;5.8
25/11/20;J0;abalone;Plouguerneau;palox 2;7.13
25/11/20;J0;abalone;Plouguerneau;palox 2;6.6
25/11/20;J0;abalone;Plouguerneau;palox 2;4.47
25/11/20;J0;abalone;Plouguerneau;palox 2;5.65
25/11/20;J0;abalone;Plouguerneau;palox 2;5.77
25/11/20;J0;abalone;Plouguerneau;palox 2;6.98
25/11/20;J0;abalone;Plouguerneau;palox 2;7.24
25/11/20;J0;abalone;Plouguerneau;palox 2;4.06
25/11/20;J0;abalone;Plouguerneau;palox 2;5.21
25/11/20;J0;abalone;Plouguerneau;palox 2;5.7
25/11/20;J0;abalone;Plouguerneau;palox 2;3.96
25/11/20;J0;abalone;Plouguerneau;palox 2;6.28
25/11/20;J0;abalone;Plouguerneau;palox 2;7.49
25/11/20;J0;abalone;Plouguerneau;palox 2;4.94
25/11/20;J0;abalone;Plouguerneau;palox 2;5.6
25/11/20;J0;abalone;Plouguerneau;palox 2;4.89
25/11/20;J0;abalone;Plouguerneau;palox 2;6.86
25/11/20;J0;abalone;Plouguerneau;palox 2;7.37
25/11/20;J0;abalone;Plouguerneau;palox 2;4.66
25/11/20;J0;abalone;Plouguerneau;palox 2;5.28
25/11/20;J0;abalone;Plouguerneau;palox 2;5.45
25/11/20;J0;abalone;Plouguerneau;palox 2;7.54
25/11/20;J0;abalone;Plouguerneau;palox 2;6.59
25/11/20;J0;abalone;Plouguerneau;palox 2;5.6
25/11/20;J0;abalone;Plouguerneau;palox 2;6.67
25/11/20;J0;abalone;Plouguerneau;palox 2;8.2
25/11/20;J0;abalone;Plouguerneau;palox 2;5.01
25/11/20;J0;abalone;Plouguerneau;palox 2;5.58
25/11/20;J0;abalone;Plouguerneau;palox 2;6.16
25/11/20;J0;abalone;Plouguerneau;palox 2;7.09
25/11/20;J0;abalone;Plouguerneau;palox 2;6.47
25/11/20;J0;abalone;Plouguerneau;palox 2;6.19
25/11/20;J0;abalone;Plouguerneau;palox 2;5.03
25/11/20;J0;abalone;Plouguerneau;palox 2;7.67
25/11/20;J0;abalone;Plouguerneau;palox 2;5.02
25/11/20;J0;abalone;Plouguerneau;palox 2;6.82
25/11/20;J0;abalone;Plouguerneau;palox 2;7.2
25/11/20;J0;abalone;Plouguerneau;palox 2;5.32
25/11/20;J0;abalone;Plouguerneau;palox 2;7.18
25/11/20;J0;abalone;Plouguerneau;palox 2;6.37
07/04/21;J133;abalone;Plouguerneau;palox 1;4.8
07/04/21;J133;abalone;Plouguerneau;palox 1;9.9
07/04/21;J133;abalone;Plouguerneau;palox 1;4.2
07/04/21;J133;abalone;Plouguerneau;palox 1;6.9
07/04/21;J133;abalone;Plouguerneau;palox 1;8.7
07/04/21;J133;abalone;Plouguerneau;palox 1;8.8
07/04/21;J133;abalone;Plouguerneau;palox 1;8.9
07/04/21;J133;abalone;Plouguerneau;palox 1;10
07/04/21;J133;abalone;Plouguerneau;palox 1;8.4
07/04/21;J133;abalone;Plouguerneau;palox 1;7
07/04/21;J133;abalone;Plouguerneau;palox 1;6.9
07/04/21;J133;abalone;Plouguerneau;palox 1;6.7
07/04/21;J133;abalone;Plouguerneau;palox 1;9.4
07/04/21;J133;abalone;Plouguerneau;palox 1;4.3
07/04/21;J133;abalone;Plouguerneau;palox 1;12.7
07/04/21;J133;abalone;Plouguerneau;palox 1;11.2
07/04/21;J133;abalone;Plouguerneau;palox 1;7.1
07/04/21;J133;abalone;Plouguerneau;palox 1;6.3
07/04/21;J133;abalone;Plouguerneau;palox 1;8.4
07/04/21;J133;abalone;Plouguerneau;palox 1;15.1
07/04/21;J133;abalone;Plouguerneau;palox 1;11.9
07/04/21;J133;abalone;Plouguerneau;palox 1;6.7
07/04/21;J133;abalone;Plouguerneau;palox 1;11.5
07/04/21;J133;abalone;Plouguerneau;palox 1;11.9
07/04/21;J133;abalone;Plouguerneau;palox 1;11.2
07/04/21;J133;abalone;Plouguerneau;palox 1;12.6
07/04/21;J133;abalone;Plouguerneau;palox 1;11.1
07/04/21;J133;abalone;Plouguerneau;palox 1;11.1
02/09/21;J281;abalone;Plouguerneau;palox 1;41.9
02/09/21;J281;abalone;Plouguerneau;palox 1;26.1
02/09/21;J281;abalone;Plouguerneau;palox 1;21.7
02/09/21;J281;abalone;Plouguerneau;palox 1;28.4
02/09/21;J281;abalone;Plouguerneau;palox 1;22.9
02/09/21;J281;abalone;Plouguerneau;palox 1;31.7
02/09/21;J281;abalone;Plouguerneau;palox 1;31.3
02/09/21;J281;abalone;Plouguerneau;palox 1;41.3
02/09/21;J281;abalone;Plouguerneau;palox 1;27.8
02/09/21;J281;abalone;Plouguerneau;palox 1;32.6
02/09/21;J281;abalone;Plouguerneau;palox 1;37.3
02/09/21;J281;abalone;Plouguerneau;palox 1;34.3
02/09/21;J281;abalone;Plouguerneau;palox 1;34.4
02/09/21;J281;abalone;Plouguerneau;palox 1;38.9
02/09/21;J281;abalone;Plouguerneau;palox 1;36.7
02/09/21;J281;abalone;Plouguerneau;palox 1;28.6
02/09/21;J281;abalone;Plouguerneau;palox 1;39.6
02/09/21;J281;abalone;Plouguerneau;palox 1;28.5
02/09/21;J281;abalone;Plouguerneau;palox 1;46.6
02/09/21;J281;abalone;Plouguerneau;palox 1;25.1
02/09/21;J281;abalone;Plouguerneau;palox 1;31.7
02/09/21;J281;abalone;Plouguerneau;palox 1;43
02/09/21;J281;abalone;Plouguerneau;palox 1;40.1
02/09/21;J281;abalone;Plouguerneau;palox 1;31.7
02/09/21;J281;abalone;Plouguerneau;palox 1;30.7
02/09/21;J281;abalone;Plouguerneau;palox 1;30.1
02/09/21;J281;abalone;Plouguerneau;palox 1;34.6
02/09/21;J281;abalone;Plouguerneau;palox 1;29.1
02/09/21;J281;abalone;Plouguerneau;palox 1;28.6
02/09/21;J281;abalone;Plouguerneau;palox 1;25.1
02/09/21;J281;abalone;Plouguerneau;palox 1;23.6
02/09/21;J281;abalone;Plouguerneau;palox 1;35.7
02/09/21;J281;abalone;Plouguerneau;palox 1;28.2
02/09/21;J281;abalone;Plouguerneau;palox 1;38.1
02/09/21;J281;abalone;Plouguerneau;palox 1;24.5
02/09/21;J281;abalone;Plouguerneau;palox 1;32.9
02/09/21;J281;abalone;Plouguerneau;palox 2;43.5
02/09/21;J281;abalone;Plouguerneau;palox 2;49.5
02/09/21;J281;abalone;Plouguerneau;palox 2;26.5
02/09/21;J281;abalone;Plouguerneau;palox 2;36.8
02/09/21;J281;abalone;Plouguerneau;palox 2;36.4
02/09/21;J281;abalone;Plouguerneau;palox 2;34
02/09/21;J281;abalone;Plouguerneau;palox 2;52.3
02/09/21;J281;abalone;Plouguerneau;palox 2;35
02/09/21;J281;abalone;Plouguerneau;palox 2;26.6
02/09/21;J281;abalone;Plouguerneau;palox 2;37.2
02/09/21;J281;abalone;Plouguerneau;palox 2;27.8
02/09/21;J281;abalone;Plouguerneau;palox 2;33.4
02/09/21;J281;abalone;Plouguerneau;palox 2;36.1
02/09/21;J281;abalone;Plouguerneau;palox 2;33.2
02/09/21;J281;abalone;Plouguerneau;palox 2;31.4
02/09/21;J281;abalone;Plouguerneau;palox 2;33.2
02/09/21;J281;abalone;Plouguerneau;palox 2;30.6
02/09/21;J281;abalone;Plouguerneau;palox 2;37.3
02/09/21;J281;abalone;Plouguerneau;palox 2;37.5
02/09/21;J281;abalone;Plouguerneau;palox 2;32.2
02/09/21;J281;abalone;Plouguerneau;palox 2;29.7
02/09/21;J281;abalone;Plouguerneau;palox 2;32.9
02/09/21;J281;abalone;Plouguerneau;palox 2;47.1
02/09/21;J281;abalone;Plouguerneau;palox 2;43.1
02/09/21;J281;abalone;Plouguerneau;palox 2;18.8
02/09/21;J281;abalone;Plouguerneau;palox 2;32.1
02/09/21;J281;abalone;Plouguerneau;palox 2;25.5
02/09/21;J281;abalone;Plouguerneau;palox 2;25.9
02/09/21;J281;abalone;Plouguerneau;palox 2;38.4
02/09/21;J281;abalone;Plouguerneau;palox 2;45.4
02/09/21;J281;abalone;Plouguerneau;palox 2;24.4
02/09/21;J281;abalone;Plouguerneau;palox 2;30.6
02/09/21;J281;abalone;Plouguerneau;palox 2;23.3
02/09/21;J281;abalone;Plouguerneau;palox 2;26.2
02/09/21;J281;abalone;Plouguerneau;palox 2;38.6
02/09/21;J281;abalone;Plouguerneau;palox 2;45.8
02/09/21;J281;abalone;Plouguerneau;palox 2;24.1
02/09/21;J281;abalone;Plouguerneau;palox 2;33.5
22/03/21;J0;flat oyster;Brest;plastic basket;6.38
22/03/21;J0;flat oyster;Brest;plastic basket;7.88
22/03/21;J0;flat oyster;Brest;plastic basket;5.6
22/03/21;J0;flat oyster;Brest;plastic basket;5.85
22/03/21;J0;flat oyster;Brest;plastic basket;5.56
22/03/21;J0;flat oyster;Brest;plastic basket;5.76
22/03/21;J0;flat oyster;Brest;plastic basket;6.93
22/03/21;J0;flat oyster;Brest;plastic basket;6.3
22/03/21;J0;flat oyster;Brest;plastic basket;9.18
22/03/21;J0;flat oyster;Brest;plastic basket;5.28
22/03/21;J0;flat oyster;Brest;plastic basket;5.16
