,condition,splMass,solventVol,1Fuco-like1-470,2Fuco-470,3Fuco-like2-470,4Fuco-like3-470,5Diadinoxanthin-470,6Diatoxanthin-470,7Lutein-470,8ZEAxanthin-470,9ZEA-like1-470,10Cantaxanthin-470,11Chlorophyl-b-470,12BetaCar-like1-470,13BetaCar-like2-470,14BetaCar-470,15BetaCar-like3-470,16BetaCar-like4-470,1PhEOpd-a1-665,2PhEOpd-a2-665,3PhEOpd-a3-665,4PhEOpd-a4-665,5Chla-allo-665,6Chla-665,7Chla-epi-665,8PhEOpt-a1-665,9PhEOpt-a2-665
Food_01_IM,5-IM food,9.2,7.2,0.1000717,1.2296771,0.1446063,0.0801622,0.0469098,0.0912761,2.942511019,1.143906602,0.429690805,0.017419897,0.322821458,0.025577636,0.159639726,1.16951534,0.351912987,0.135826065,1.001862354,0.510850606,0.084315149,0.952265207,0.122544198,1.002900698,0.12127035,3.878496834,5.644155239
Food_02_IM,5-IM food,9.6,7.2,0.1163137,1.4932168,0.1760424,0.0901169,0.0449136,0.100452,3.402686645,1.438593202,0.614051387,0.018871556,0.371312974,0.026459623,0.157875751,1.347676802,0.465689366,0.216968909,1.30936466,0.59020604,0.143831724,0.902668061,0.150951013,1.167099733,0.141269767,4.483582018,9.56232979
SC_U01_IM,4-IM,14.1,3.6,0.1121222,0.1943801,0.2902604,0.0785904,0.0154703,0.2694818,46.00304598,28.53234044,5.864698824,0.600986464,0.4053481,0.145527927,0.724993672,4.452272575,1.123651993,0.323689389,29.04904854,6.958479614,4.691890032,129.8602079,0.161014414,0.171459969,0.02165542,26.23689035,106.8669709
SC_U01_PO,3-PO,11.6,1.8,1.3596132,0.1430344,0.6743053,0.7612786,0.5020346,0.6654946,0.458723967,0.270008411,0.11613265,0.373076138,0.001252128,0.022931673,0.086434769,0.185217361,0.062621108,0.022931673,1.190331509,0.714198905,0.297582877,0.148791439,0,0.022292344,0.003057236,0.19342887,3.4817197
SC_U01_EA,1-EA,12.1,3.6,4.8374984,0.309646,0.872353,0.1603243,0.037428,0.0777537,2.247166777,0.744700618,0.245330223,0.448562361,0.029823421,0.031751548,0.201093135,2.02239719,0.400422296,0.222260834,0.892748632,0.565407467,0.26782459,17.78057692,0.014776639,0.086239524,0.011337249,1.954127561,69.3020924
SC_U02_IM,4-IM,5,3.6,0.0833058,0.1246967,0.0964042,0.0298643,0.002096,0.0540895,4.590142991,2.827830027,1.043742192,0.098712752,0.052817051,0.021167698,0.122596254,0.556534072,0.186099349,0.124360228,7.017996189,2.802238761,2.94111077,10.28148841,0.051590853,0.008025244,0.006114471,2.340985301,20.28027309
SC_U02_PO,3-PO,9.1,1.8,0.7471323,0.073351,0.2499173,0.3321752,0.2360461,0.2540277,0.239523591,0.177102291,0.060969641,0.516790292,0.000796809,0.008202483,0.036161485,0.108484455,0.022049686,0.008202483,0.535649179,0.302542592,0.049597146,0.71915862,0.002292927,0.01452187,0.001783387,0.079355434,2.043402424
SC_U02_EA,1-EA,2,1.8,1.328701,0.0167659,0.3609917,0.0833058,0.0239539,0.0323571,0.129197573,0.194522189,0.182908924,0.330978052,0.000899256,0.012347824,0.028223598,0.20991301,0.039689435,0.016757761,0.12895258,0.046621317,0.049101175,0.178549726,0.001222894,0.001910772,0.001401233,0.069436005,3.040305063
SC_U03_IM,4-IM,9.8,3.6,0.0759707,0.2211009,0.0964042,0.0565851,0.0254511,0.0453966,9.897405095,5.915506859,1.107615149,0.124842599,0.149117105,0.044981359,0.335155226,1.579639497,0.393366396,0.178161462,10.46995757,5.277136357,7.127109911,16.823352,0.058979172,0.082417979,0.014649254,7.479249649,24.70929824
SC_U03_PO,3-PO,11.9,1.8,2.4373489,0.0110026,1.3030281,1.4513019,0.927716,1.2928367,1.289072415,1.096001884,0.290331625,0.333881369,0.001593618,0.033515523,0.119950291,0.27870803,0.062621108,0.029105585,0.515810321,0.52572975,0.041165631,0.476132604,0,0,0,0,6.0111741
SC_U03_EA,1-EA,10.2,1.8,3.072359,1.3433712,0.7811881,0.2472977,0.0469098,0.1043156,1.117776756,0.757765541,0.195973847,0.140810838,0.011041496,0.067031045,0.305167653,1.887453112,0.375726648,0.186099349,1.998764992,1.468075528,0.71915862,5.916939543,0.027005582,0.102162627,0.012738482,1.225049511,89.9593038
SC_U04_IM,4-IM,6.4,7.2,0.081734,0.1404148,0.1702791,0.0366755,0.0074856,0.0424989,8.987215451,4.903701146,0.910189644,0.119035966,0.105406442,0.026459623,0.1684596,0.995763815,0.280472005,0.09966458,4.602615169,1.939248417,2.117798143,20.32491052,0.073246272,0.096557695,0.014776639,4.285193433,17.52267176
SC_U04_EO,2-EO,12.1,1.8,1.019055,0.0607765,0.8566349,0.5307469,0.7006527,1.1083527,0.108874359,0.377431112,0.136455864,0.338236343,0.00728511,0.055565208,0.23372667,0.460397441,0.131416128,0.058211171,2.712963898,1.477994957,0.446374316,0.575326896,0.004076314,0.034139132,0.005732317,0.426535457,7.851228246
SC_U04_PO,3-PO,12.6,1.8,0.9509433,0.220053,0.4767815,0.595191,0.5150096,0.4264381,0.319364787,0.2322653,0.053711351,0.976965918,0.002276597,0.027341611,0.109366442,0.254894369,0.064385083,0.022931673,0.967144351,0.555488038,0.183509441,0.619964328,0.00343939,0.028661585,0.003948929,0.659642045,2.340985301
