Identifiant;origin;d15N;ConcN;d13C;ConcC
BW_U01_Im;Indoor farmed;12.99;14.85;-12.87;50.88
BW_U02_Im;Indoor farmed;13.74;2.64;-14.46;10.84
BW_U04_Im;Indoor farmed;15.23;3.2;-12.86;12.13
BW_U05_Im;Indoor farmed;14.76;5.57;-13.1;20
BW_U06_Im;Indoor farmed;12.68;4.57;-12.96;16.52
BW_U01_Eo;Sea ranched;10.39;3.95;-19.53;17.35
BW_U02_Eo;Sea ranched;11.02;20.06;-18.33;72.81
BW_U04_Eo;Sea ranched;10.77;6.14;-18.37;22.14
BW_U05_Eo;Sea ranched;10.29;4.41;-18.69;16.6
BW_U06_Eo;Sea ranched;10.4;6.36;-18.36;23.83
BW_U01_Po;Sea ranched;10.94;4.24;-19.26;14.71
BW_U02_Po;Sea ranched;10.96;14.25;-16.23;56.44
BW_U03_Po;Sea ranched;10.65;4.26;-16.72;14.95
BW_U04_Po;Sea ranched;10.9;4.31;-18.44;18.98
BW_U05_Po;Sea ranched;11.84;3.93;-18.55;16.8
BW_U01_Ea;Sea ranched;9.77;14.78;-14.13;52.06
BW_U02_Ea;Sea ranched;8.94;7.82;-15.86;29.75
BW_U04_Ea;Sea ranched;9.37;3.58;-16.2;14.73
BW_U05_Ea;Sea ranched;8.29;8.16;-16.31;31.1
BW_U06_Ea;Sea ranched;8.81;6.37;-15.6;22.42
BW_M01_Wild;Wild grown;11.17;7.14;-15.76;22.12
BW_F02_Wild;Wild grown;11.72;16.17;-15.75;52.14
BW_F03_Wild;Wild grown;11.43;5.04;-15.57;15.85
BW_M04_Wild;Wild grown;11.47;10.78;-16.36;33.9
BW_M06_Wild;Wild grown;10.84;12.43;-15.99;36.69
Alim_1_Im;Indoor farmed;11.87;1.91;-13.7;11.39
Alim_2_Im;Indoor farmed;11.91;5.07;-13.63;30.61
SC_U01_Im;Indoor farmed;12.93;3.75;-14.22;20.58
SC_U02_Im;Indoor farmed;13.53;1.94;-15.62;14.29
SC_U04_Im;Indoor farmed;12.81;5.93;-13.77;30.39
SC_U05_Im;Indoor farmed;12.46;4.54;-14.06;25.38
SC_U06_Im;Indoor farmed;11.93;2.73;-14.38;15.92
